i;172;0
i;221;0
i;114;0
i;113;0
i;221;0
i;102;0
i;205;0
i;102;0
i;31;0
i;26;0
i;160;0
i;90;0
i;114;0
r;141;208446460
i;171;0
i;218;0
i;215;0
i;31;0
i;160;0
i;172;0
i;171;0
i;114;0
i;160;0
i;84;0
i;102;0
i;209;0
i;171;0
i;50;0
s;153
i;240;0
i;90;0
i;160;0
i;64;0
i;162;0
i;215;0
i;171;0
i;113;0
i;221;0
i;113;0
i;125;0
i;187;0
i;57;0
i;90;0
i;228;0
i;249;0
i;129;0
i;210;0
i;50;0
r;113;1266708275
i;7;0
i;193;0
i;49;0
i;248;0
i;127;0
d;210
i;254;0
i;114;0
i;221;0
i;160;0
i;221;0
i;209;0
i;18;0
i;69;0
i;220;0
i;63;0
i;171;0
i;199;0
i;240;0
i;48;0
i;133;0
i;218;0
i;162;0
i;102;0
i;236;0
i;205;0
i;207;0
i;187;0
i;112;0
i;138;0
i;31;0
r;228;1858499932
i;26;0
i;243;0
i;249;0
i;122;0
i;153;0
i;218;0
i;218;0
i;31;0
i;233;0
i;50;0
i;90;0
i;84;0
i;49;0
i;8;0
i;29;0
i;50;0
i;69;0
i;171;0
i;57;0
i;215;0
i;64;0
i;90;0
i;105;0
i;210;0
s;127
i;127;0
i;141;0
i;172;0
i;201;0
i;102;0
i;125;0
i;147;0
i;193;0
i;90;0
i;31;0
p
d;205
i;90;0
i;235;0
p
i;215;0
i;90;0
i;187;0
d;221
r;113;1280437582
s;90
i;48;0
p
i;219;0
i;228;0
d;112
i;215;0
d;90
i;236;0
i;129;0
i;57;0
s;243
r;220;1584397436
i;220;0
i;113;0
i;248;0
i;133;0
i;249;0
s;233
i;218;0
i;7;0
i;207;0
i;138;0
i;160;0
i;243;0
i;254;0
p
i;209;0
s;207
r;207;1279689357
i;7;0
r;220;461871410
i;153;0
i;105;0
i;221;0
s;147
d;201
i;18;0
i;240;0
p
p
i;162;0
i;187;0
i;233;0
i;122;0
i;29;0
i;31;0
p
r;49;1433842064
i;63;0
i;199;0
d;210
p
i;172;0
i;57;0
i;8;0
i;112;0
i;201;0
i;215;0
i;205;0
s;218
p
i;221;0
i;114;0
i;50;0
d;160
r;254;1510366181
i;141;0
i;235;0
d;171
r;69;134700119
i;171;0
i;210;0
i;26;0
i;113;0
d;219
i;215;0
d;90
p
i;57;0
i;49;0
i;102;0
p
i;193;0
i;90;0
p
i;90;0
p
i;127;0
i;220;0
i;133;0
i;249;0
i;138;0
i;171;0
i;122;0
i;69;0
i;31;0
i;147;0
i;218;0
i;171;0
s;122
d;113
i;8;0
r;102;594282739
i;90;0
i;171;0
s;29
i;90;0
i;219;0
p
i;90;0
i;84;0
s;57
s;8
r;113;2044433380
i;31;0
i;215;0
d;29
i;48;0
i;1612841450;0
s;31
i;127;0
i;249;0
i;172;0
d;127
i;220;0
i;50;0
i;209;0
i;133;0
i;3468257359;0
p
i;64;0
d;172
i;138;0
i;125;0
i;122;0
i;236;0
i;4193094268;0
i;228;0
i;31;0
i;240;0
s;63
i;31;0
s;125
d;209
i;113;0
i;50;0
p
i;205;0
i;218;0
i;205;0
i;2684184923;0
i;129;0
i;187;0
i;7;0
i;105;0
i;162;0
i;49;0
i;127;0
i;254;0
i;248;0
d;210
i;26;0
p
i;240;0
i;221;0
i;69;0
i;26;0
i;8;0
i;49;0
i;18;0
i;141;0
i;220;0
i;63;0
i;69;0
i;3640172672;0
i;199;0
i;138;0
p
p
i;147;0
i;122;0
i;31;0
i;2120591313;0
i;171;0
i;90;0
i;218;0
i;127;0
r;228;444080142
i;48;0
i;84;0
i;236;0
r;113;1177756807
i;50;0
i;218;0
i;112;0
i;90;0
i;219;0
i;218;0
r;243;1567674576
r;215;1829586206
i;209;0
i;220;0
i;207;0
i;240;0
i;243;0
i;153;0
i;64;0
i;233;0
i;133;0
i;125;0
i;2250349869;0
i;57;0
i;172;0
i;8;0
i;29;0
i;249;0
i;90;0
s;49
i;193;0
i;105;0
i;138;0
i;84;0
i;141;0
i;122;0
i;228;0
i;31;0
i;147;0
i;50;0
i;599099359;0
i;90;0
p
i;50;0
i;129;0
i;7;0
i;49;0
i;69;0
i;57;0
i;254;0
i;210;0
d;127
i;221;0
i;193;0
i;219;0
i;18;0
i;3978890112;0
i;63;0
i;4191661489;0
i;201;0
i;199;0
i;8;0
i;248;0
i;112;0
i;425491018;0
i;129;0
i;113;0
i;147;0
i;235;0
r;31;659175161
i;48;0
i;248;0
i;2011049643;0
i;215;0
i;236;0
i;57;0
i;1087082733;0
i;207;0
i;243;0
i;218;0
i;221;0
i;1170124493;0
p
i;1451568107;0
i;153;0
p
i;218;0
i;3951579176;0
s;90
r;127;1271694240
i;1056765010;0
i;3960362324;0
d;249
i;205;0
i;476407557;0
i;18;0
r;84;1642068225
i;26;0
i;105;0
i;870309076;0
i;57;0
p
p
i;233;0
p
i;29;0
i;209;0
i;240;0
i;201;0
i;153;0
i;233;0
i;218;0
i;235;0
i;84;0
i;162;0
i;50;0
i;215;0
s;153
i;64;0
i;57;0
i;141;0
i;81982999;0
i;3237579082;0
d;162
s;141
i;1035469669;0
i;147;0
i;57;0
s;147
i;31;0
i;210;0
d;228
i;4290632141;0
i;2465980612;0
i;201;0
i;90;0
i;2832653901;0
i;3196403382;0
i;193;0
d;172
i;235;0
i;125;0
i;561153825;0
i;219;0
i;228;0
i;1796923930;0
r;8;1648335828
i;215;0
i;2669142107;0
i;248;0
i;129;0
i;202597376;0
i;7;0
i;3552507536;0
i;254;0
i;2336981650;0
i;1388256666;0
p
i;1959468618;0
r;236;596789104
i;221;0
i;1644118858;0
r;160;848693195
i;18;0
i;207;0
i;3695218440;0
r;187;2015881992
i;1629554601;0
s;50
s;147
i;3099344713;0
i;216593190;0
r;218;1767045967
i;63;0
r;254;2130680910
i;199;0
d;187
i;209;0
i;112;0
i;2158080907;0
d;90
i;94510884;0
d;254
d;102
i;243;0
s;125
s;171
r;102;1310477939
i;153;0
i;3070735345;0
i;233;0
i;3774061704;0
i;29;0
p
i;2961574388;0
i;3138001089;0
i;683030531;0
i;808480473;0
d;193
r;162;1658870963
s;31
i;2963798124;0
s;63
d;236
i;190049996;0
i;849363718;0
i;1991853617;0
s;141
i;4034000434;0
p
i;3978571512;0
i;1448795290;0
p
i;201;0
i;3387479007;0
i;8;0
r;218;1796960305
r;218;1007625973
i;235;0
i;215;0
i;4026396352;0
i;57;0
d;171
p
r;57;434688531
i;1407357974;0
i;1741500279;0
r;50;972086560
i;3003741530;0
s;122
i;3380772982;0
i;1747250720;0
i;3976122059;0
i;4106025367;0
